구분,분류,용어,설명
리스크,리스크 개요,전략리스크,불리한 사업결정  사업환경 변화에 대한 대응책 결여 등으로 손실이 발생할 가능성
리스크,리스크 개요,평판리스크,경영부진  금융사고  사회적 물의 야기 등으로 은행 고객  주주 등 외부의 여론이 악화됨에 따라 손실이 발생할 가능성
리스크,리스크 개요,리스크(Risk)의 측정,리스크는 일반적으로 변동성(Volatility)  민감도(Sensitivity)  포지션(Position) 등의 방법으로 측정
리스크,리스크 개요,변동성,수익 또는 손실의 분포가 기대치(평균)로부터 떨어져 있는 정도를 의미하며  주로 분산이나 표준편차로 측정
리스크,리스크 개요,민감도,x(금리  환율  주가 등 시장지표)의 변화에 따라 y(수익 자산가치 등)가 변화하는 정도를 의미하며  주식은 베타(β )   채권은 듀레이션 등으로 측정
리스크,리스크 개요,포지션,자금의 과부족 상태  수익이나 자산 등의 규모의 차이를 의미 (예 : 외화자산 - 외화부채 = 환포지션)
리스크,국제감독기구,G20(Group of 20),선진 7개국 정상회담(G7)과 유럽연합(EU) 의장국 그리고 신흥시장 12개국(한국  아르헨티나  오스트레일리아  브라질  중국  인도  인도네시아  멕시코  러시아  사우디아라비아  남아프리카공화국  터키) 등 세계 주요 20개국을 회원으로 하는 국제기구로  금융 규제와 관련된 주요정책 및 기본방향을 결정함
리스크,국제감독기구,FSB(Financial Stability Board),G20 런던 정상회의 합의에 따라 설립되었으며 G-7 재무장관 및 중앙은행 총재들에 의해 금융위기의 예방 및 신속한 대처와 금융감독 및 검사분야의 정보교환과 국제협력을 통한 국제적 금융안정 도모를 위해 창설. 현재 한국  미국  영국 등 27개국 및 BIS  IMF  EC 등 6개의 국제기구와 BCBS 등 6개의 국제기준제정기구가 회원으로 활동하고 있음
리스크,국제감독기구,BIS(Bank for International Settlements  국제결제은행),1930년 제1차 세계대전 후 독일의 배상문제를 처리하기 위해 미국  유럽국가 등 12개국이 공동출자로 스위스 바젤에 설립. 설립당시에는 국제적인 청산기관으로서 각국의 중앙은행간 환(換)거래업무를 담당하였으나  현재는 기능이 확대되어 각국 금융정책의 조정과 국제 통화문제 논의·결정 등 중요한 역할을 수행하고 있음. 현재 회원국은 50개 국가이고 우리나라는 1996년에 가입
리스크,국제감독기구,BCBS(Basel Committee on Banking Supervision  바젤은행감독위원회),1974.6월 독일 헤르슈타트은행 파산 사건으로 국제통화금융시장의 불안정을 경험한 G-10국가의 중앙은행 총재들이 은행감독업무의 국제적 표준화  감독 당국 협력증진과 정보교환 등을 목적으로 1974.12월 BIS산하 위원회로 설립. 현재는 G20국가를 포함한 27개국 중앙은행 및 감독기구로 구성되어 있으며  최고의사 결정기구는 GHoS(The Group of Governors and Heads of Supervision)이며 우리나라는 2009.3월가입  금감원과 한국은행이 위원회에 참여 중임
리스크,자본적정성,자본적정성 관리,자본적정성을 유지한다는 것은 은행이 영업활동 과정에서 직면하는 리스크에 대응할 수 있도록 충분히 자본을 보유하고 있음을 의미. 자본적정성 관리는 모든 리스크가 보유한 자본범위 이내에서 관리되도록 리스크를 인식  평가  관리하는 절차를 뜻함
리스크,자본적정성,규제자본 관리,금융감독당국이 정한 방법에 따라 자본적정성을 관리하는 체계. 은행간 비교가 용이한 장점이 있음
리스크,자본적정성,내부자본 관리,은행의 특성을 반영하여 리스크 측정 방법  대상 그리고 자본의 범위를 정하여 자본적정성을 관리하는 체계
리스크,자본적정성,규제자본(Regulatory Capital),은행의 자본적정성을 확보하고 금융시스템의 안정성을 도모하기 위해 금융감독당국이 제시한 기준에 따라 리스크 및 자본을 측정하고 그 리스크를 흡수할 수 있도록 의무적으로 보유해야 하는 자본량으로  BIS비율 규제가 대표적임ㆍBIS 최저자기자본 비율 : 8%
리스크,자본적정성,내부자본(Risk Capital  Internal Capital),은행의 리스크가 실현될 경우에 입게 되는 손실금액이 은행이 보유한 자본의 일정수준을 초과하지 않도록 하기 위하여 보유한 자본내에서 일정금액을 한도로 설정해 놓은 금액
리스크,자본적정성,가용자본(Available Capital),리스크가 실제손실로 실현되었을 경우 해당손실을 충당하기 위해 언제든지 사용할 수 있는 자본으로  가용자본의 범위는 리스크 측정수준  위기발생시 자본의 활용가능성 등을 종합적으로 고려하여 은행 자체적으로 설정함
리스크,자본적정성,위험성향(Risk Appetite),은행이 리스크를 수반한 영업활동을 얼마나 보수적 또는 공격적으로 추진할 것인지를 계량화한 수치로  가용자본에 대한 내부자본의 비율을 말함
리스크,자본적정성,내부자본(리스크총량 한도) 관리,위험성향(Risk Appetite)내에서 리스크 종류별로 내부자본을 배분하고  배분된 리스크 종류별 금액을 세부 영업단위로 배분하여 관리하는 과정을 말함
리스크,자본적정성,통합위기상황분석 (Stress-Testing),예외적이지만 발생 가능한 특정 시나리오를 만들고 시나리오에 의한 은행의 보유 포트폴리오의 잠재적인 취약성을 평가하여 은행의 자본적정성이 충분하게 유지되도록하기 위한 대응방안을 수립하는 리스크관리 기법을 말함
리스크,자본적정성,민감도분석,정상 상황에서 산출한 리스크의 크기를 보면서 그 리스크의 요소 중 하나의 요소가 일정비율 만큼 변할 때 리스크 측정값의 변화를 보는 방법
리스크,자본적정성,시나리오분석,민감도분석에 비해 여러 개의 요인들이 동시에 변화하는 시나리오를 설정하여 리스크 변화를 분석하는 것으로 실제로 가장 많이 사용하는 방법임
리스크,자본적정성,역위기상황분석 (Reverse Stress-Testing),통합위기상황분석과는 정반대로  은행에 위기상황(예 : BIS비율 8% 이하)이 발생했다고 가정하고 그에 가장 가까운 원인을 역으로 찾는 리스크관리 방법론임
리스크,금리리스크,금리리스크,이자수익을 발생시키는 금리민감자산과 이자비용을 발생시키는 금리민감부채를 대상으로 금리의 불리한 변동에 따라 은행의 순자산가치나 순이자이익이 감소하여 손실이 발생할 가능성
리스크,금리리스크,금리변경리스크,자산과 부채의 만기 또는 금리변경 주기의     불일치로 인해 발생 (예: 단기자금조달로 장기대출 실행)
리스크,금리리스크,수익률곡선 리스크,수익률곡선의 기울기 변화에 따라 발생
리스크,금리리스크,베이시스리스크,수입이자와 지급이자의 기준금리가 불완전한 상관     관계를 가짐에 따라 발생 (예: CD연동 조달후 산금채 연동 대출로 운용)
리스크,금리리스크,옵션리스크,자산/부채 및 부외거래 포지션에 내재된 옵션에서 발생 (예 : 대출의 조기상환)
리스크,금리리스크,금리리스크 관리 지표,금리변동 시나리오를 설정하고 그에 따르는 현금흐름을 시뮬레이션하여 금리변동이 순자산가치나 순이자이익에 미치는 영향을 측정한 수치를 주 관리지표로 관리
리스크,금리리스크,금리 VaR,금리의 불리한 변동으로 인한 현재 또는 미래 특정시점(통상 1년)에서의 순자산가치(NPV)의 최대감소 규모를 최대손실 예상액으로 인식하며  이 최대손실예상액을 금리 VaR라고 함
리스크,금리리스크,금리 EaR,금리의 불리한 변동으로 인해 향후 일정기간(통상 1년)동안 발생할 수 있는 순이자이익의 최대 감소 규모를 말하며  이 최대 손익 감소 예상액을 금리EaR 이라고 함
리스크,금리리스크,듀레이션갭,금리변동에 따른 순자산가치의 민감도를 측정하는 수단으로  금리민감자산과 금리민감부채의 듀레이션을 산출하고  금리민감자산과 금리민감부채의 규모의 비중을 반영한 듀레이션의 차이를 듀레이션갭이라고 함
리스크,금리리스크,금리갭,각 금리 변경주기별(1 3 6개월 1년 등)로  금리재책정(Repricing)* 자산에서 금리재책정 부채를 차감한 갭 규모를 금리갭이라고 하며  금리재책정에 따른 순이자이익의 금리 민감도를 측정하는 수단
리스크,시장리스크,시장리스크,시장지표(금리  주가  환율 등)가 불리한 방향으로 변동할 경우 트레이딩포지션*에서 손실이 발생할 가능성. 일반시장리스크와 개별리스크로 구분됨
리스크,시장리스크,트레이딩포지션,단기 매매차익 획득 등을 목적으로 금융기관이 보유하는 포지션으로 상품채권  상품주식 및 파생상품 등을 말함
리스크,시장리스크,일반시장리스크,금리  주가  환율 등 시장 전체에 영향을 미치는 사건과 관련된 가격 변동으로 손실이 발생할 가능성
리스크,시장리스크,개별리스크,유가증권 발행자의 신용등급 하락 등 개별적인 사건과 관련된 가격 변동으로 손실이 발생할 가능성
리스크,시장리스크,시장 VaR,트레이딩포지션의 시장리스크를 측정하는 방법으로  정상적인 시장상황에서 주어진 신뢰수준으로 보유기간 동안 발생할 수 있는 최대 손실 가능액
리스크,시장리스크,시장 VaR 산출,시장 VaR 산출 방법은 크게 내부모형법과 표준방법으로 분류할 수 있음
리스크,시장리스크,내부모형법,① 역사적 시뮬레이션법(Historical Simulation)  ②분산ㆍ공분산법(Variance-Covariance)  ③ 몬테카를로 시뮬레이션법(Monte Carlo Simulation)
리스크,시장리스크,역사적 시뮬레이션법,최근 1년(250영업일)동안 과거 시장데이터(금리 주가 환율 등)의 수익률 변동을 현재 포트폴리오에 적용하여 포트폴리오의 가치를 재평가한 후  그 결과로 나온 손익분포중 하위 1%(99% 신뢰수준 적용)에 해당하는 손실금액을 1일 VaR로 산출하는 방식
리스크,시장리스크,분산ㆍ공분산법,보유 포지션에 영향을 주는 리스크요인의 변동성과 손익분포에 의해 산출
리스크,시장리스크,몬테카를로 시뮬레이션,확률모형을 이용하여 시나리오별로 포트폴리오 손익분포를 생성하여 특정 신뢰수준에서 산출된 가치
리스크,시장리스크,투자주식 VaR,99% 신뢰수준으로 투자주식*을 3개월 보유할 경우 발생할 수 있는 최대 손실 가능액
리스크,시장리스크,Stressed VaR,시장 VaR는 최근의 정상적인 시장상황을 가정한 것으로  스트레스기간(금융위기  서브프라임사태 등) 중의 극심한 변동성을 반영하지 못하는 단점을 보완하기 위해 스트레스기간의 시장 데이터를 이용하여 산출한 보완적 개념의 VaR
리스크,시장리스크,사후검증,시장 VaR를 측정하는 모형이 유용하려면 향후 발생 가능한 시장리스크를 정확히 추정할 수 있어야 하기 때문에 사용 중인 모형이 적합한지를 상시적으로 점검하는 것을 말함
리스크,시장리스크,손절매(Stop Loss) 한도,보유하고 있는 트레이딩포지션중 개별종목 가격이 매입가의 일정비율 이하로 하락할 경우 즉시 매각해야 하는 기준
리스크,시장리스크,Front Office,트레이더(또는 딜러)가 고객 주문을 받아 대행 거래하거나 직접 자기 계산으로 유가증권ㆍ파생상품 등의 거래를 하는 것으로  매매(Trading)  영업(Sales) 등의 업무가 포함되며  거래는 별도의 독립된 공간인 트레이딩룸에서 이루어짐
리스크,시장리스크,Back Office,직접적으로 거래에 관여하지는 않지만 후선에서 Front Office(거래실행업무)의 효율적 영업활동을 위한 사후관리 및 지원*을 하는 것
리스크,시장리스크,Middle Office,Front Office에서 발생할 수 있는 리스크를 관리 하는 것
리스크,시장리스크,베타,개별증권 또는 포트폴리오의 손익이 증권시장 움직임에 대해 얼마나 반응하여 변동하는가를 나타내는 지표
리스크,시장리스크,듀레이션,채권에서 발생하는 현금흐름의 가중평균 만기로  이자율 변화에 대한 채권가격의 민감도를 측정하기 위한 척도
리스크,신용리스크,신용리스크,거래상대방의 상환 및 결제의무 불이행으로 약정채권을 정상적으로 회수하지 못하거나  대지급 등에 따라 손실이 발생할 가능성을 말함
리스크,신용리스크,신용리스크 관리 대상자산,은행 전체 자산 중 거래상대방의 채무불이행으로 손실이 발생할 가능성이 있는 모든 부내ㆍ외 자산 중 다음을 제외한 모든 자산
리스크,신용리스크,신용익스포저,차주의 부도시 신용리스크에 노출될 것으로 예상되는 금액을 의미하며  부내자산은 잔액으로  부외자산(Off-Balance)은 신용환산율을 적용하여 산출
리스크,신용리스크,신용환산율,신용익스포저 산출시 부외자산(보증 등)은 명목원금 중 일부만 난내자산으로 편입되는데  이때 부외자산을 부내자산으로 바꿀 때 적용하는 비율
리스크,신용리스크,부도,"금융감독당국은 금융기관이 부도에 대한 정의를 내부규정에 명시하도록 하고 있으며  당행은 ""은행업감독업무시행세칙“에서 BIS자기자본비율을 산출할 때  적용하는 부도 정의를 준용하고 있음"
리스크,신용리스크,예상 부도율,과거 부도율 데이터를 기반으로 추정된 신용등급별로 향후 1년 이내에 부도가 발생할 가능성
리스크,신용리스크,등급전이행렬,현재의 신용등급(예: BBB)이 1년 후에 다른 등급(예: A)으로 전이될 확률을 행렬형식으로 구성한 것으로  이를 통하여 차주의 부도 및 신용등급의 변화 가능성 정도를 파악할 수 있음
리스크,신용리스크,부도시 손실률,부도가 발생할 때 익스포저(EaD)의 몇 %가 손실이 될 것인가를 나타내는 비율
리스크,신용리스크,신용손실,신용익스포저에서 발생할 수 있는 모든 손실을 의미하며  예상손실과 예상외손실로 구분
리스크,신용리스크,예상손실,신용익스포저에서 과거의 채무불이행 경험에 비추어 향후 1년간 예상되는 평균적인 손실
리스크,신용리스크,예상손실률,개별차주 또는 포트폴리오의 신용익스포저 대비 예상손실이 차지하는 비율
리스크,신용리스크,예상외손실,신용익스포저로 부터 향후 1년 후 발생 가능한 최대손실금액에서 예상손실을 차감한 금액을 예상외손실이라고 하며  이를 은행이 측정 및 관리해야 하는 신용리스크로 인식함
리스크,신용리스크,예상외손실률,개별업체 또는 포트폴리오의 신용익스포저 대비 예상외손실이 차지하는 비율
리스크,신용리스크,WARR(Weighted Average Risk Rating : 가중평균신용등급),신용등급 AAA는 1  AA는 2  .....  C는 9  D는 10 으로 점수를 부여하고 해당 신용등급별 익스포저로 가중평균하여 산출한 값으로  조직/계열/산업별 포트폴리오의 질적요소(Credit Quality)을 평가하는데 활용
리스크,신용리스크,WAPD(Weighted Average Probability of Default : 가중평균부도율),신용등급별 1년 예상부도율을 해당등급별 익스포저로 가중평균하여 산출한 값
리스크,신용리스크,CPM(Credit Portfolio Management  신용포트폴리오 관리),은행이 수익성과 건전성을 제고하기 위해 포트폴리오의 리스크 대비 수익성을 평가한 후  신용리스크 이전거래(대출매각 등)를 통해 은행이 원하는 방향으로 포트폴리오의 구성을 변화시키는 일련의 활동을 의미
리스크,신용리스크,Fat-tail Risk,신용편중이 없는 포트폴리오에 비해 신용편중이 심한 경우  손실분포상의 꼬리 부분이 두터워지는(Fat-tail) 형태가 되는 것을 의미
리스크,신용리스크,신용편중리스크 또는 집중리스크(Concentration Risk),은행의 자본  총자산 또는 전반적인 리스크 수준과 비교하여 개별기업 또는 계열에 대하여 과다한 익스포저를 보유함으로서 은행의 건전성을 저해할 정도의 손실이 발생할 가능성
리스크,신용리스크,거래상대방리스크(Counterparty Credit Risk),대출과는 달리 계약이행을 해야 하는 시점에 평가이익 상태인데 거래상대방이 계약의 일부 또는 전부를 이행하지 못해 손실이 발생할 가능성을 말함
리스크,신용리스크,외환결제리스크,외환거래 결제일에 매도통화를 지급했지만 국가간 시차 때문에 매입통화를 받지 못한 상태에서 거래 상대방이 파산하는 등의 이유로 원금을 받지 못해 손실이 발생할 가능성
리스크,신용리스크,신용공여 한도,은행법에서 특정인(동일인  동일차주)에 대해 제공할 수 있는 신용공여를 금융기관 자기자본의 일정한도 이내로 제한하는 제도
리스크,신용리스크,신용익스포저 한도,신용공여한도와는 별도로 은행의 과도한 신용익스포저 집중을 방지하기 위하여 은행 자체적으로 익스포저 운용한도를 설정하여 관리하는 제도
리스크,신용리스크,기업별 신용익스포저 한도,당행은 신용등급 CCC 이상 모든 거래처에 대하여 기업지급능력한도와 당행부담능력한도 중 적은 금액을 운용한도로 설정
리스크,신용리스크,계열별 신용익스포저 한도,전체 계열(주채무계열  기타계열  당행기타계열)을 대상으로 계열지급능력한도와 당행부담능력한도 중 적은 금액을 계열별 운용한도로 설정
리스크,신용리스크,Large Exposure 한도,거액 손실 가능성을 방지하고 은행의 자산건전성을 제고하기 위하여 “Large Exposure 리스크관리 Guideline”에 의거하여 관리대상 계열에 대하여 계열위험 및 계열전망 등 계열의 특성을 반영하여 익스포저한도를 설정하고 운용하는 제도
리스크,신용리스크,외화익스포저 한도,외화익스포저*의 집중을 방지하기 위하여 당행 자기자본 대비 일정비율을 한도로 설정하여 관리하는 제도
리스크,신용리스크,중점관리산업 지정,특정산업에 대한 익스포저 과다  과당경쟁  중복투자  사양화 등으로 산업위험이 높거나 높아질 것으로 예상되는 산업의 익스포저를 중점적으로 관리하기 위해 지정
리스크,신용리스크,여신유의업종 지정,중점관리산업 지정단계는 아니나 단기간내 급격한 공급과잉 또는 수익성 악화 등이 우려되는 업종을 관리하기 위해 지정
리스크,운영리스크,운영리스크,부적절하거나 잘못된 내부절차  시스템 오류  직원의 실수ㆍ고의 또는 자연재해 등의 사건에 의해 손실이 발생할 가능성
리스크,운영리스크,손실사건 유형 (Loss Event Type),운영리스크를 효율적으로 관리하기 위하여 금융감독당국에서는 운영리스크 유형을 7가지로 분류하고 있음
리스크,운영리스크,내부사취,내부직원에 의한 규정/법률 위반  자산유용 및 사기
리스크,운영리스크,외부사취,외부인의 절도  사기 및 시스템 해킹
리스크,운영리스크,고용 및 사업장 안전,직원에 대한 차별  해고 및 인사/안전관련 법규 위반 (부당한 해고관련 소송 등)
리스크,운영리스크,고객ㆍ상품 및 영업,고객에 대한 선관 의무 위반 및 불완전한 상품판매
리스크,운영리스크,유형자산 손실,홍수  화재 등 자연재해 등에 따른 자산 손실
리스크,운영리스크,업무중단 및 시스템장애,시스템 장애 등에 따른 업무중단
리스크,운영리스크,집행ㆍ전달 및 절차의 관리,거래 입력 또는 업무 처리와 관련된 오류 (담보관리 부실  등기권리증 분실 등)
리스크,운영리스크,KRI (Key Risk Indicator : 핵심리스크 지표),직원의 이직률  거래수정 및 취소 등 손실을 유발하는 원인이나 사건을 계량화하여 운영리스크를 관리할 수 있는 기준이나 근거를 제공하는 지표
리스크,운영리스크,CSA(Control Self Assessment : 리스크/통제 자가진단),업무담당자가 업무에 내재되어 있는 운영리스크를 인식ㆍ평가하고  동 리스크를 방지하는 현재의 통제유형(내규 등 업무기준)이 얼마나 유효한가를 평가하는 절차
리스크,운영리스크,BCP(Business Continuity Planning : 영업연속성계획),금융기관이 재해  파업 등으로 인한 업무가 중단 될 경우에 대응하여 목표복구 시간내에 은행의 주요 업무를 복구 및 재개할 수 있도록 하는 문서화된 정책 및 절차 (연 1회 이상 모의훈련을 통하여 실효성 점검)
퇴직연금,,계리적 손익(Actuarial gains or losses),계리적 가정에 근거하여 계산된 퇴직급여의 추정치와 실제 퇴직급여액의 차액
퇴직연금,,기준가격,기준가격이란 수익증권의 시가를 말하며  구체적으로는 투자신탁재산에 편입되어 있는 주식  공사채의 시가상당액에 여유금과 배당금  이자  매매익  평가익 등을 가산하고 여기에 투자신탁재산에서 부담되는 제경비  신탁보수와 매매손  평가손 등을 공제한 후 수익증권의 발행 총좌수로 나누어 1 000좌단위(상장형은 1좌 단위)로 환산하여 산출한 가격을 말한다. 다시 말하면 신탁계정원장에 계상된 자산총액에서 부채총액을 공제하고 유가증권 평가손익을 가산한 금액을 잔존수익증권의 총좌수로 나누어 1 000좌 단위(상장형은 1좌 단위)로 환산한 금액을 말한다
퇴직연금,,401k 제도,미국의 확정기여형(DC) 퇴직연금제도의 일종. 401(k)란 명칭은 이 제도가 미국 내국세법(IRC) 401조 k항에 근거한 퇴직저축제도이기 때문임. 이 조항에 따르면 근로자는 급여에서 소득세를 공제하기 전 일정 부분을 저축함으로서 소득세를 적게 낼 수 있으며  은퇴 후 인출 시에는 낮은 세율을 적용받는 혜택을 누리며 노후를 준비할 수 있음
퇴직연금,,미적립연금제도(Unfunded pension plans),현재의 사용자나 가입자로부터 연금지급을 위한 부담금을 직접 조달하는 연금제도로서 부과방식(PAYG; Pay-As-You-Go)으로 불리기도 함. 시재금 등의 운영비용이나 일정 부담금의 이연으로 인해 관련자산의 보유가 가능
퇴직연금,,부담금,퇴직급여재원 마련을 위해 납입하는 금액으로  확정기여형(DC)의 경우 근로자의 추가 부담금이 있음. 확정기여형(DB)의 경우 기업이 납입하는 부담금은 다음과 같이 구분된다. ①표준 부담금: 장래의 가입기간에 해당하는 급여지금을 위하여 계산되는 부담금 ②보충 부담금: 과거근무기간분에 대한 급여지급을 위하여 계산되는 부담금 ③특별 부담금: 적립금이 법정 적립수준을 미달하는 경우 이를 충당하기 위하여 계산되는 부담금
퇴직연금,,불특정금전신탁,고객(위탁자)이 신탁자금의 운용방법을 특정하지 아니하고 수탁자에게 위임하는 신탁
퇴직연금,,소득대체율,가입기간 중 평균소득을 현재가치로 환산한 금액 대비 연금지급액을 말하는데 일반적으로 안락한 노후보장을 위한 소득 대체율은 65~70%
퇴직연금,,수급권(Vested Rights),퇴직연금 제도에서는 퇴직급여를 받을 수 있는 법적권리를 말하며 수급자격이라고도 함
퇴직연금,,수익자,신탁재산에서 발생하는 이익을 향수하는 자. 신탁법상 수익자의 자격에는 제한이 없으며 민법상의 권리능력이 있는 자는 모두 수익자가 될 수 있다. 수익자로 지정된 사람은 신탁이익을 받는 것을 승낙한 것으로 추정되므로 수익자는 별다른 의사표시를 하지 않아도 당연히 신탁이익을 받는다
퇴직연금,,수익증권,투자신탁의 수익권을 증권으로 표창한 것
퇴직연금,,수탁자,위탁자로부터 신탁을 인수하여 신탁 목적에 따라 신탁재산을 관리 또는 처분하는 자를 말한다
퇴직연금,,시산,퇴직연금 규약과 예정 기초율을 토대로 퇴직급여를 예측하고 이렇게 산출된 퇴직급여의 지급을 보장하기 위해 장기적으로 안정적이며 평준화된 부담금을 산출하는 과정
퇴직연금,,계산기초율,확정급여형(DB) 퇴직연금 부담금을 계산하는데 사용하는 전제조건으로  예정이율  예정사망률  예정 퇴직률  예정승급률 등이 있음
퇴직연금,,신탁,본인 또는 타인을 위하여 자기 재산을 믿을 수 있는 제3자(수탁자)에게 맡겨서 관리  보전  처분하게 하는 재산의 관리제도
퇴직연금,,신탁보수,위탁자 및 수탁자에게 신탁업무 수행의 대가로서 신탁재산에서 지불되는 보수. 신탁보수는 위탁자 보수와 수탁자 보수로 나누어지며 그 배분은 양자의 협의에 따라 결정
퇴직연금,,연금(annuity),연금수령자에게 종신 또는 일정(확정)기간 동안 (매월  분기별  반기별  연도별) 고정 또는 변동방식의 급여지급을 보장하는일종의 재무계약으로서  급여의 지급은 납입기간 종료후 곧 바로 시작되거나 사전에 정해진 특정연령 도달시점에서 시작
퇴직연금,,연금자산,연금제도에 관련된 모든 형태의 투자가치
퇴직연금,,연금계리방식,수학  확률  통계적 방법을 응용하여 보험  연금  퇴직연금 등에 대한 부담금을 계산하는 방식. 보험  연금과 관련된 미래의 위험도를 계산하기 위해 수학  확률  통계 및 위험이론을 응용하여 미래의 수익가치에 대한 지표를 산출한다.
퇴직연금,,연금계리사(actuary),재무적 관점에서 연금제도의 지급여력을 파악하기 위해 일반적으로 인정되는 연금계리 및 연금회계기준에 따라 현재와 미래의 연금부채를 평가하고 이에 대한 책임을 부담하는 개인 또는 법인
퇴직연금,,예정 사망률,가입자와 (이미 퇴직연금제도를 탈퇴한) 연금수급자의 사망발생비율을 예측한 것으로  가입자의 자격을 상실하는 사유로서 추계에 사용될 뿐 아니라  연금수급자의 급부 종료시기에 관한 추계에도 사용된다. 예정 사망률은 성별  연령별로 산정되는데  보통 확정급여형 퇴직연금제도에서는 대상집단의 실적에 기초한 통계치 대신에 국민 전체를 대상으로 산정한 사망률을 보정하여 퇴직연금사망률로 사용하고 있다.
퇴직연금,,예정 승급률,가입자의 급여가 장래 어느 정도의 비율로 상승할 것인가를 추계한 비율. 퇴직급여가 장래기준 급여의 비례인 경우 근로자의 급여가 어느 정도의 비율로 증가할 것인가를 계수화 한 것. 근로자 300인 이상 기업에 적용하는 경험 승급률과 근로자 300인 미만기업에 적용하는 참조 승급률이 있음. ①경험 승급률(Experienced salary scale): 예정승급률의 종류로 단체로부터 받은 근로자 데이터의 생년월일  입사일  기준급여 등을 활용  연령별 인원 및 기준급여를 집계하여 연령별 기준급여를 추정한 후  기준연령의 추정 급여로 나누어 산출한 연령별 급여지수. 자료의 축적인 가능한 근로자 300인 이상 기업에 적용. ②참조 승급률(Reference salary scale): 예정 승급률의 종류로서 해당기업의 승급률 산출을 위한 기초 통계량이 부족할 경우  경험 승급률을 산출하지 아니하고 적용하는 보험개발원에서 산출한 공통의 승급률. 근로자 300인 미만 기업에 적용.
